Team_Name,Opp_Name,Date,Game_Round,Team_Outcome,Team_Goals,Team_Points,Team_Score,Opp_Goals,Opp_Points,Opp_Score,Venue
MAYO,CAVAN,03/03/2002,"NFL, DIV 1  SB",WIN,2,14,20,2,12,18,BALLINROBE
OFFALY,ROSCOMMON,03/03/2002,"NFL, DIV 1  SA",LOSS,2,11,17,1,15,18,DR HYDE PARK
ANTRIM,ARMAGH,03/03/2002,"NFL, DIV 2  SA",LOSS,1,11,14,3,12,21,CASEMENT PARK
LEITRIM,LOUTH,03/03/2002,"NFL, DIV 2  SA",TIE,0,13,13,1,10,13,CLOONE
LIMERICK,KERRY,03/03/2002,"NFL, DIV 2  SA",WIN,2,12,18,0,16,16,THE GAELIC GROUNDS
MONAGHAN,LONGFORD,03/03/2002,"NFL, DIV 2  SB",LOSS,0,11,11,1,12,15,PEARSE PARK
WATERFORD,MEATH,03/03/2002,"NFL, DIV 2  SB",LOSS,0,6,6,3,11,20,PAIRC TAILTEAN
CARLOW,TIPPERARY,03/03/2002,"NFL, DIV 2  SB",LOSS,0,12,12,1,11,14,DR CULLEN PARK
LONDON,WICKLOW,03/03/2002,"NFL, DIV 2  SA",LOSS,1,1,4,2,21,27,AUGHRIM
LAOIS,WEXFORD,03/03/2002,"NFL, DIV 2  SB",LOSS,2,12,18,2,19,25,NEW ROSS
CORK,DUBLIN,10/03/2002,"NFL, DIV 1  SA",WIN,1,13,16,0,10,10,PAIRC UI CHAOIMH
DOWN,CAVAN,10/03/2002,"NFL, DIV 1  SB",LOSS,1,8,11,0,14,14,BREFFNI PARK
WESTMEATH,DONEGAL,10/03/2002,"NFL, DIV 1  SA",LOSS,0,7,7,1,6,9,MULLINGAR
FERMANAGH,DERRY,10/03/2002,"NFL, DIV 1  SB",TIE,0,9,9,0,9,9,CELTIC PARK
KILDARE,MAYO,10/03/2002,"NFL, DIV 1  SB",LOSS,0,7,7,4,5,17,NEWBRIDGE
SLIGO,CLARE,10/03/2002,"NFL, DIV 1  SB",WIN,3,11,20,1,9,12,MARKIEVICZ PARK
OFFALY,TYRONE,10/03/2002,"NFL, DIV 1  SA",LOSS,1,4,7,1,11,14,TULLAMORE
LIMERICK,ARMAGH,10/03/2002,"NFL, DIV 2  SA",LOSS,2,6,12,2,19,25,CARRICK CRUPPEN
ANTRIM,LOUTH,10/03/2002,"NFL, DIV 2  SA",WIN,1,10,13,1,9,12,DUNDALK
LONDON,KERRY,10/03/2002,"NFL, DIV 2  SA",LOSS,0,4,4,4,13,25,RUISLIP
WICKLOW,LEITRIM,10/03/2002,"NFL, DIV 2  SA",LOSS,0,9,9,2,5,11,AUGHRIM
LAOIS,LONGFORD,10/03/2002,"NFL, DIV 2  SB",WIN,1,14,17,1,11,14,PORTARLINGTON
CARLOW,MEATH,10/03/2002,"NFL, DIV 2  SB",LOSS,0,6,6,2,14,20,PAIRC TAILTEAN
TIPPERARY,WEXFORD,10/03/2002,"NFL, DIV 2  SB",LOSS,0,3,3,3,10,19,ARDFINNAN
WATERFORD,MONAGHAN,10/03/2002,"NFL, DIV 2  SB",TIE,0,8,8,0,8,8,DUNGARVAN
GALWAY,ROSCOMMON,16/03/2002,"NFL, DIV 1  SA",TIE,3,11,20,3,11,20,UNKNOWN
OFFALY,CORK,18/03/2002,"NFL, DIV 1  SA",WIN,2,11,17,1,11,14,PAIRC UI CHAOIMH
WESTMEATH,ROSCOMMON,18/03/2002,"NFL, DIV 1  SA",LOSS,0,12,12,0,16,16,DR HYDE PARK
CLARE,CAVAN,23/03/2002,"NFL, DIV 1  SB",LOSS,0,7,7,1,12,15,UNKNOWN
LIMERICK,LOUTH,23/03/2002,"NFL, DIV 2  SA",LOSS,0,8,8,0,12,12,KILMALLOCK
CLARE,CAVAN,24/03/2002,"NFL, DIV 1  SB",LOSS,0,7,7,1,12,15,MILTOWN MALBAY
DONEGAL,CORK,24/03/2002,"NFL, DIV 1  SA",WIN,1,12,15,0,9,9,BALLYSHANNON
FERMANAGH,SLIGO,24/03/2002,"NFL, DIV 1  SB",WIN,2,9,15,0,11,11,BREWSTER PARK
OFFALY,GALWAY,24/03/2002,"NFL, DIV 1  SA",LOSS,0,15,15,1,13,16,BALLINASLOE
KILDARE,DOWN,24/03/2002,"NFL, DIV 1  SB",WIN,1,17,20,1,10,13,NEWRY
MAYO,DERRY,24/03/2002,"NFL, DIV 1  SB",WIN,0,16,16,2,8,14,CROSSMOLINA
ROSCOMMON,DUBLIN,24/03/2002,"NFL, DIV 1  SA",WIN,2,12,18,0,16,16,PARNELL PARK
WESTMEATH,TYRONE,24/03/2002,"NFL, DIV 1  SA",LOSS,2,8,14,2,15,21,POMEROY
WICKLOW,ANTRIM,24/03/2002,"NFL, DIV 2  SA",LOSS,1,8,11,0,13,13,CASEMENT PARK
CARLOW,WATERFORD,24/03/2002,"NFL, DIV 2  SB",WIN,0,12,12,0,11,11,DR CULLEN PARK
ARMAGH,KERRY,24/03/2002,"NFL, DIV 2  SA",LOSS,2,9,15,2,10,16,AUSTIN STACK PARK
